"","treated","age","educ","black","hisp","married","nodegree","urban","fsize","re14","re18"
"1",0,42,16,0,0,1,0,1,2,0,100.485404968262
"2",0,20,13,0,0,0,0,1,1,3317.4677734375,4793.7451171875
"3",0,37,12,0,0,1,0,1,4,22781.85546875,25564.669921875
"4",0,48,12,0,0,1,0,1,3,20839.35546875,20550.744140625
"5",0,51,12,0,0,1,0,0,2,21575.177734375,22783.587890625
"6",0,18,11,0,0,0,1,0,1,1455.5322265625,2157.48071289062
"7",0,52,15,0,0,1,0,1,3,25243.548828125,25564.669921875
"8",0,39,16,0,0,1,0,0,2,25243.548828125,25564.669921875
"9",0,44,12,0,0,1,0,1,2,25243.548828125,25564.669921875
"10",0,51,12,0,0,1,0,1,4,25243.548828125,25564.669921875
"11",0,53,12,0,0,1,0,1,5,25243.548828125,25427.240234375
"12",0,55,12,0,0,1,0,0,1,25243.548828125,25564.669921875
"13",0,45,12,0,0,1,0,0,2,10666.7421875,8096.4638671875
"14",0,54,12,0,0,1,0,1,3,25243.548828125,25564.669921875
"15",0,54,12,0,0,1,0,0,2,25243.548828125,25564.669921875
"16",0,51,8,0,0,1,1,1,4,12967.306640625,0
"17",0,16,10,0,0,0,1,1,1,2391.87084960938,10747.505859375
"18",0,17,10,0,0,0,1,1,1,537.096801757812,4306.09521484375
"19",0,53,12,0,0,1,0,0,4,4380.91943359375,25564.669921875
"20",0,53,12,0,0,1,0,1,4,11305.88671875,16150.07421875
"21",0,53,12,0,0,1,0,1,2,24563.2265625,24081.033203125
"22",0,42,12,0,0,1,0,0,3,580.064514160156,0
"23",0,46,11,0,0,1,1,0,1,25243.548828125,25564.669921875
"24",0,49,18,0,0,1,0,0,3,25243.548828125,25564.669921875
"25",0,49,17,0,0,1,0,0,5,25243.548828125,25564.669921875
"26",0,55,12,0,0,1,0,1,3,25243.548828125,25564.669921875
"27",0,55,10,0,0,1,1,0,4,22060.35546875,1536.83569335938
"28",0,49,12,0,0,1,0,1,5,25243.548828125,25564.669921875
"29",0,49,12,0,0,1,0,0,2,23564.2265625,25564.669921875
"30",0,41,12,0,0,1,0,1,4,18447.484375,21143.3125
"31",0,52,12,0,0,1,0,1,1,25243.548828125,25564.669921875
"32",0,52,12,0,0,1,0,1,4,18300.677734375,15736.310546875
"33",0,44,16,0,0,1,0,1,3,25243.548828125,25564.669921875
"34",0,54,12,0,0,1,0,1,2,25243.548828125,25564.669921875
"35",0,44,12,0,0,1,0,0,5,6146.17724609375,3877.55444335938
